day,direction,entry_ts,exit_ts,entry_index,exit_index,reference_level,index_stop,beta,strike_rank,lots,quantity,risk_rupees,pnl_rupees,pnl_r,mfe_rupees,mfe_r,capture_pct,exit_reason,minutes_open
2026-05-29,PE,2026-05-29 08:20:00+00:00,2026-05-29 08:59:00+00:00,54483.150000,54573.97,54748.300000,54573.97,0.5,ATM,1,30,1362.30,-1462.30,-1.07,375.00,0.28,0,index_structure_stop,39
2026-06-01,PE,2026-06-01 05:05:00+00:00,2026-06-01 05:18:00+00:00,53871.150000,54007.95,54170.650000,54007.95,0.35,OTM1,1,30,1436.40,-1536.40,-1.07,140.18,0.10,0,index_structure_stop,13
2026-06-02,CE,2026-06-02 08:00:00+00:00,2026-06-02 09:09:00+00:00,53872.900000,53742.97,53385.650000,53742.97,0.35,OTM1,1,30,1364.27,-1464.27,-1.07,636.83,0.47,0,index_structure_stop,69
2026-06-03,CE,2026-06-03 08:30:00+00:00,2026-06-03 08:36:00+00:00,53886.250000,53939.750000,53638.850000,53800.60,0.5,ATM,1,30,1284.75,1127.00,0.88,1754.25,1.37,64.24,mfe_ratchet_stop,6
2026-06-03,CE,2026-06-03 09:10:00+00:00,2026-06-03 09:25:00+00:00,54029.200000,54168.850000,53638.850000,53892.83,0.35,OTM1,1,30,1431.89,1580.00,1.10,2400.83,1.68,65.81,mfe_ratchet_stop,15
2026-06-04,CE,2026-06-04 04:50:00+00:00,2026-06-04 04:59:00+00:00,54294.850000,54214.13,54138.850000,54214.13,0.5,ATM,1,30,1210.80,-1310.80,-1.08,182.25,0.15,0,index_structure_stop,9
2026-06-05,CE,2026-06-05 04:35:00+00:00,2026-06-05 04:42:00+00:00,54625.300000,54551.000000,54520.200000,54495.50,0.35,OTM1,1,30,1362.90,-1.00,-0.00,816.38,0.60,0,mfe_ratchet_stop,7
2026-06-09,CE,2026-06-09 06:35:00+00:00,2026-06-09 06:53:00+00:00,54834.000000,54896.450000,54711.200000,54732.93,0.35,OTM1,1,30,1061.24,645.50,0.61,1066.80,1.01,60.51,mfe_ratchet_stop,18
2026-06-09,CE,2026-06-09 07:05:00+00:00,2026-06-09 07:48:00+00:00,54971.750000,55051.850000,54711.200000,54855.49,0.35,OTM1,1,30,1220.73,903.50,0.74,1433.78,1.17,63.02,mfe_ratchet_stop,43
2026-06-09,CE,2026-06-09 08:00:00+00:00,2026-06-09 08:26:00+00:00,55100.950000,55025.44,54711.200000,55025.44,0.5,ATM,1,30,1132.65,-1232.65,-1.09,504.75,0.45,0,index_structure_stop,26
2026-06-11,CE,2026-06-11 04:25:00+00:00,2026-06-11 04:28:00+00:00,55216.150000,55112.76,55096.450000,55112.76,0.35,OTM1,1,30,1085.60,-1185.60,-1.09,26.78,0.02,0,index_structure_stop,3
2026-06-15,PE,2026-06-15 08:15:00+00:00,2026-06-15 08:24:00+00:00,57243.600000,57200.300000,57445.550000,57309.59,0.5,ATM,1,30,989.85,1022.00,1.03,1603.50,1.62,63.74,mfe_ratchet_stop,9
2026-06-15,PE,2026-06-15 08:40:00+00:00,2026-06-15 08:54:00+00:00,57192.750000,57301.54,57445.550000,57301.54,0.35,OTM1,1,30,1142.30,-1242.30,-1.09,80.85,0.07,0,index_structure_stop,14
2026-06-17,CE,2026-06-17 05:40:00+00:00,2026-06-17 05:55:00+00:00,57566.600000,57571.750000,57440.850000,57490.15,0.5,ATM,1,30,1146.75,-1.00,-0.00,831.75,0.73,0,mfe_ratchet_stop,15
