# NIFTY Midcap 100 watchlist
# Source: official NSE/Nifty Indices constituent CSV downloaded from niftyindices.com
# FYERS-tradable list excludes official dummy constituents that FYERS history rejects: NIFTYNEXT50:DUMMYVEDL1, NIFTYNEXT50:DUMMYVEDL2, NIFTYNEXT50:DUMMYVEDL3, NIFTYNEXT50:DUMMYVEDL4
# Columns: symbol,fyers_symbol,company,sector,basket,notes
symbol,fyers_symbol,company,sector,basket,notes
POLYCAB,NSE:POLYCAB-EQ,Polycab India Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
PREMIERENE,NSE:PREMIERENE-EQ,Premier Energies Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
PRESTIGE,NSE:PRESTIGE-EQ,Prestige Estates Projects Ltd.,Realty,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
RADICO,NSE:RADICO-EQ,Radico Khaitan Ltd,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
RVNL,NSE:RVNL-EQ,Rail Vikas Nigam Ltd.,Construction,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
SBICARD,NSE:SBICARD-EQ,SBI Cards and Payment Services Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
SRF,NSE:SRF-EQ,SRF Ltd.,Chemicals,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
SAIL,NSE:SAIL-EQ,Steel Authority of India Ltd.,Metals & Mining,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
SUPREMEIND,NSE:SUPREMEIND-EQ,Supreme Industries Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
SUZLON,NSE:SUZLON-EQ,Suzlon Energy Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
SWIGGY,NSE:SWIGGY-EQ,Swiggy Ltd.,Consumer Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
TATACOMM,NSE:TATACOMM-EQ,Tata Communications Ltd.,Telecommunication,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
TATAELXSI,NSE:TATAELXSI-EQ,Tata Elxsi Ltd.,Information Technology,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
TATAINVEST,NSE:TATAINVEST-EQ,Tata Investment Corporation Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
TIINDIA,NSE:TIINDIA-EQ,Tube Investments of India Ltd.,Automobile and Auto Components,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
UPL,NSE:UPL-EQ,UPL Ltd.,Chemicals,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
VMM,NSE:VMM-EQ,Vishal Mega Mart Ltd.,Consumer Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
IDEA,NSE:IDEA-EQ,Vodafone Idea Ltd.,Telecommunication,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
VOLTAS,NSE:VOLTAS-EQ,Voltas Ltd.,Consumer Durables,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
WAAREEENER,NSE:WAAREEENER-EQ,Waaree Energies Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
YESBANK,NSE:YESBANK-EQ,Yes Bank Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
